+----------+----------------+-------------+-------------+-------------+------------+-----------+-------------+----------------+
| topology |     metric     |     mean    |     min     |     max     |   stdev    | theorical |  difference | error_rate (%) |
|    15    |      rtt       |  25.549 ms  |   0.000 ms  |  37.376 ms  | 13.080 ms  |   30 ms   |   4.451 ms  |     14.84      |
|    15    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    16    | throughput_tcp | 47.058 Mbps | 47.035 Mbps | 47.067 Mbps | 0.012 Mbps | 50.0 Mbps |  2.942 Mbps |      5.88      |
|    16    |      rtt       |  20.493 ms  |   0.000 ms  |  34.162 ms  | 16.732 ms  |   34 ms   |  13.507 ms  |     39.73      |
|    16    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    17    | throughput_tcp | 46.708 Mbps | 46.704 Mbps | 46.711 Mbps | 0.002 Mbps | 50.0 Mbps |  3.292 Mbps |      6.58      |
|    17    |      rtt       |  25.292 ms  |   0.000 ms  |  42.155 ms  | 20.651 ms  |   42 ms   |  16.708 ms  |     39.78      |
|    17    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    18    | throughput_tcp | 32.993 Mbps | 32.988 Mbps | 32.996 Mbps | 0.003 Mbps | 35.0 Mbps |  2.007 Mbps |      5.74      |
|    18    |      rtt       |  37.517 ms  |   0.000 ms  |  49.118 ms  | 18.793 ms  |   46 ms   |   8.483 ms  |     18.44      |
|    18    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    19    | throughput_tcp | 50.885 Mbps | 50.875 Mbps | 50.896 Mbps | 0.007 Mbps | 55.0 Mbps |  4.115 Mbps |      7.48      |
|    19    |      rtt       |  37.578 ms  |   0.000 ms  |  49.482 ms  | 18.833 ms  |   46 ms   |   8.422 ms  |     18.31      |
|    19    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    20    | throughput_tcp | 28.334 Mbps | 28.329 Mbps | 28.337 Mbps | 0.003 Mbps | 30.0 Mbps |  1.666 Mbps |      5.55      |
|    20    |      rtt       |  41.087 ms  |   0.000 ms  |  54.955 ms  | 20.627 ms  |   50 ms   |   8.913 ms  |     17.83      |
|    20    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    21    | throughput_tcp | 54.948 Mbps | 54.936 Mbps | 54.958 Mbps | 0.008 Mbps | 60.0 Mbps |  5.052 Mbps |      8.42      |
|    21    |      rtt       |  30.079 ms  |   0.000 ms  |  50.150 ms  | 24.559 ms  |   50 ms   |  19.921 ms  |     39.84      |
|    21    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    22    | throughput_tcp | 23.611 Mbps | 23.607 Mbps | 23.613 Mbps | 0.002 Mbps | 25.0 Mbps |  1.389 Mbps |      5.55      |
|    22    |      rtt       |  36.961 ms  |   0.000 ms  |  64.487 ms  | 30.220 ms  |   60 ms   |  23.039 ms  |     38.40      |
|    22    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    23    | throughput_tcp | 58.369 Mbps | 58.355 Mbps | 58.378 Mbps | 0.009 Mbps | 65.0 Mbps |  6.631 Mbps |     10.20      |
|    23    |      rtt       |  36.305 ms  |   0.000 ms  |  61.220 ms  | 29.646 ms  |   60 ms   |  23.695 ms  |     39.49      |
|    23    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    24    | throughput_tcp | 18.858 Mbps | 18.858 Mbps | 18.858 Mbps | 0.000 Mbps | 20.0 Mbps |  1.142 Mbps |      5.71      |
|    24    |      rtt       |  48.157 ms  |   0.000 ms  |  80.482 ms  | 39.320 ms  |   80 ms   |  31.843 ms  |     39.80      |
|    24    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    25    | throughput_tcp | 60.117 Mbps | 60.112 Mbps | 60.125 Mbps | 0.006 Mbps | 70.0 Mbps |  9.883 Mbps |     14.12      |
|    25    |      rtt       |  48.071 ms  |   0.000 ms  |  80.160 ms  | 39.250 ms  |   80 ms   |  31.929 ms  |     39.91      |
|    25    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    26    | throughput_tcp | 14.110 Mbps | 13.990 Mbps | 14.170 Mbps | 0.065 Mbps | 15.0 Mbps |  0.890 Mbps |      5.93      |
|    26    |      rtt       |  60.047 ms  |   0.000 ms  |  100.103 ms | 49.028 ms  |   100 ms  |  39.953 ms  |     39.95      |
|    26    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    27    | throughput_tcp |  9.305 Mbps |  9.300 Mbps |  9.314 Mbps | 0.005 Mbps | 10.0 Mbps |  0.695 Mbps |      6.95      |
|    27    |      rtt       |  56.064 ms  |   0.000 ms  |  140.172 ms | 68.664 ms  |   140 ms  |  83.936 ms  |     59.95      |
|    27    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    28    | throughput_tcp | 59.155 Mbps | 59.150 Mbps | 59.158 Mbps | 0.003 Mbps | 80.0 Mbps | 20.845 Mbps |     26.06      |
