+----------+----------------+-------------+-------------+-------------+------------+-----------+-------------+----------------+
| topology |     metric     |     mean    |     min     |     max     |   stdev    | theorical |  difference | error_rate (%) |
|    15    |      rtt       |  30.178 ms  |  30.136 ms  |  30.215 ms  |  0.027 ms  |   30 ms   |   0.178 ms  |      0.59      |
|    15    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    16    | throughput_tcp | 47.683 Mbps | 47.679 Mbps | 47.684 Mbps | 0.002 Mbps | 50.0 Mbps |  2.317 Mbps |      4.63      |
|    16    |      rtt       |  34.183 ms  |  34.148 ms  |  34.203 ms  |  0.020 ms  |   34 ms   |   0.183 ms  |      0.54      |
|    16    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    17    | throughput_tcp | 47.566 Mbps | 47.563 Mbps | 47.569 Mbps | 0.002 Mbps | 50.0 Mbps |  2.434 Mbps |      4.87      |
|    17    |      rtt       |  42.175 ms  |  42.142 ms  |  42.194 ms  |  0.019 ms  |   42 ms   |   0.175 ms  |      0.42      |
|    17    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    18    | throughput_tcp | 33.314 Mbps | 33.312 Mbps | 33.317 Mbps | 0.002 Mbps | 35.0 Mbps |  1.686 Mbps |      4.82      |
|    18    |      rtt       |  46.174 ms  |  46.130 ms  |  46.216 ms  |  0.035 ms  |   46 ms   |   0.174 ms  |      0.38      |
|    18    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    19    | throughput_tcp | 52.216 Mbps | 52.214 Mbps | 52.219 Mbps | 0.002 Mbps | 55.0 Mbps |  2.784 Mbps |      5.06      |
|    19    |      rtt       |  46.163 ms  |  46.103 ms  |  46.202 ms  |  0.034 ms  |   46 ms   |   0.163 ms  |      0.36      |
|    19    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    20    | throughput_tcp | 28.546 Mbps | 28.532 Mbps | 28.555 Mbps | 0.008 Mbps | 30.0 Mbps |  1.454 Mbps |      4.85      |
|    20    |      rtt       |  50.184 ms  |  50.161 ms  |  50.218 ms  |  0.020 ms  |   50 ms   |   0.184 ms  |      0.37      |
|    20    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    21    | throughput_tcp | 56.842 Mbps | 56.828 Mbps | 56.851 Mbps | 0.010 Mbps | 60.0 Mbps |  3.158 Mbps |      5.26      |
|    21    |      rtt       |  50.178 ms  |  50.143 ms  |  50.209 ms  |  0.026 ms  |   50 ms   |   0.178 ms  |      0.36      |
|    21    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
|    22    | throughput_tcp | 23.741 Mbps | 23.703 Mbps | 23.758 Mbps | 0.021 Mbps | 25.0 Mbps |  1.259 Mbps |      5.04      |
|    22    |      rtt       |  60.183 ms  |  60.116 ms  |  60.209 ms  |  0.034 ms  |   60 ms   |   0.183 ms  |      0.30      |
|    22    |      loss      |    0.0 %    |    0.0 %    |    0.0 %    |   0.0 %    |    0 %    |    0.0 %    |       0        |
