cdn1;m5;0
m5;cdn1;0
cdn2;a4;0
a4;cdn2;0
cdn3;c2;0
c2;cdn3;0
ext1;i1;0
i1;ext1;0
man1;c1;0
c1;man1;0
man2;c2;0
c2;man2;0
man3;c3;0
c3;man3;0
man4;c4;0
c4;man4;0
r1;m1;0
m1;r1;0
r2;m1;0
m1;r2;0
r3;m1;0
m1;r3;0
r4;m1;0
m1;r4;0
r5;m2;0
m2;r5;0
r6;m2;0
m2;r6;0
r7;m2;0
m2;r7;0
r8;m2;0
m2;r8;0
r9;m3;0
m3;r9;0
r10;m3;0
m3;r10;0
r11;m3;0
m3;r11;0
r12;m3;0
m3;r12;0
r13;m4;0
m4;r13;0
r14;m4;0
m4;r14;0
r15;m4;0
m4;r15;0
r16;m4;0
m4;r16;0
r17;m5;0
m5;r17;0
r18;m5;0
m5;r18;0
r19;m5;0
m5;r19;0
r20;m5;0
m5;r20;0
m1;m2;0
m2;m1;0
m2;m3;0
m3;m2;0
m3;m4;0
m4;m3;0
m4;m5;0
m5;m4;0
m5;m1;0
m1;m5;0
m2;a2;0
a2;m2;0
m3;a3;0
a3;m3;0
a1;a2;0
a2;a1;0
a2;a3;0
a3;a2;0
a3;a4;0
a4;a3;0
a4;a1;0
a1;a4;0
a1;c1;0
c1;a1;0
a2;c1;0
c1;a2;0
a3;c2;0
c2;a3;0
a4;c2;0
c2;a4;0
c1;c2;0
c2;c1;0
c1;c3;0
c3;c1;0
c1;c4;0
c4;c1;0
c2;c3;0
c3;c2;0
c2;c4;0
c4;c2;0
c3;c4;0
c4;c3;0
c3;i1;0
i1;c3;0
c4;i1;0
i1;c4;0
u001;r1;0
r1;u001;0
u002;r1;0
r1;u002;0
u003;r1;0
r1;u003;0
u004;r1;0
r1;u004;0
u005;r1;0
r1;u005;0
u006;r1;0
r1;u006;0
u007;r1;0
r1;u007;0
u008;r1;0
r1;u008;0
u009;r1;0
r1;u009;0
u010;r1;0
r1;u010;0
u011;r2;0
r2;u011;0
u012;r2;0
r2;u012;0
u013;r2;0
r2;u013;0
u014;r2;0
r2;u014;0
u015;r2;0
r2;u015;0
u016;r2;0
r2;u016;0
u017;r2;0
r2;u017;0
u018;r2;0
