agent;manager;first-trigger-time;polling-throughput-tcp;polling-rtt;polling-loss
u119;r12;0.85;-1;40;-1
u120;r12;0.855;-1;40;-1
u121;r13;0.86;-1;40;-1
u122;r13;0.865;-1;40;-1
u123;r13;0.87;-1;40;-1
u124;r13;0.875;-1;40;-1
u125;r13;0.88;-1;40;-1
u126;r13;0.885;-1;40;-1
u127;r13;0.89;-1;40;-1
u128;r13;0.895;-1;40;-1
u129;r13;0.9;-1;40;-1
u130;r13;0.905;-1;40;-1
u131;r14;0.91;-1;40;-1
u132;r14;0.915;-1;40;-1
u133;r14;0.92;-1;40;-1
u134;r14;0.925;-1;40;-1
u135;r14;0.93;-1;40;-1
u136;r14;0.935;-1;40;-1
u137;r14;0.9400000000000001;-1;40;-1
u138;r14;0.9450000000000001;-1;40;-1
u139;r14;0.9500000000000001;-1;40;-1
u140;r14;0.9550000000000001;-1;40;-1
u141;r15;0.96;-1;40;-1
u142;r15;0.965;-1;40;-1
u143;r15;0.97;-1;40;-1
u144;r15;0.975;-1;40;-1
u145;r15;0.98;-1;40;-1
u146;r15;0.985;-1;40;-1
u147;r15;0.99;-1;40;-1
u148;r15;0.995;-1;40;-1
u149;r15;1.0;-1;40;-1
u150;r15;1.0050000000000001;-1;40;-1
u151;r16;1.01;-1;40;-1
u152;r16;1.0150000000000001;-1;40;-1
u153;r16;1.02;-1;40;-1
u154;r16;1.025;-1;40;-1
u155;r16;1.03;-1;40;-1
u156;r16;1.035;-1;40;-1
u157;r16;1.04;-1;40;-1
u158;r16;1.045;-1;40;-1
u159;r16;1.05;-1;40;-1
u160;r16;1.055;-1;40;-1
u161;r17;1.06;-1;40;-1
u162;r17;1.065;-1;40;-1
u163;r17;1.07;-1;40;-1
u164;r17;1.075;-1;40;-1
u165;r17;1.08;-1;40;-1
u166;r17;1.085;-1;40;-1
u167;r17;1.09;-1;40;-1
u168;r17;1.095;-1;40;-1
u169;r17;1.1;-1;40;-1
u170;r17;1.105;-1;40;-1
u171;r18;1.11;-1;40;-1
u172;r18;1.115;-1;40;-1
u173;r18;1.12;-1;40;-1
u174;r18;1.125;-1;40;-1
u175;r18;1.1300000000000001;-1;40;-1
u176;r18;1.135;-1;40;-1
u177;r18;1.1400000000000001;-1;40;-1
u178;r18;1.145;-1;40;-1
u179;r18;1.1500000000000001;-1;40;-1
u180;r18;1.155;-1;40;-1
u181;r19;1.16;-1;40;-1
u182;r19;1.165;-1;40;-1
u183;r19;1.17;-1;40;-1
u184;r19;1.175;-1;40;-1
u185;r19;1.18;-1;40;-1
u186;r19;1.185;-1;40;-1
u187;r19;1.19;-1;40;-1
u188;r19;1.195;-1;40;-1
u189;r19;1.2;-1;40;-1
u190;r19;1.205;-1;40;-1
u191;r20;1.21;-1;40;-1
u192;r20;1.215;-1;40;-1
u193;r20;1.22;-1;40;-1
u194;r20;1.225;-1;40;-1
u195;r20;1.23;-1;40;-1
u196;r20;1.235;-1;40;-1
u197;r20;1.24;-1;40;-1
u198;r20;1.245;-1;40;-1
u199;r20;1.25;-1;40;-1
u200;r20;1.2550000000000001;-1;40;-1
